epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,973.614,1.53083,0.87517,2.06191,0.93152,0.95897,0.98725,0.82627,1.48047,0.65079,1.95732,0.00121591,0.00121591,0.00121591
43,996.107,1.62414,0.96647,2.10984,0.95137,0.93601,0.98154,0.81262,1.44481,0.75972,1.90682,0.00120491,0.00120491,0.00120491
44,1016.57,1.52889,0.88926,2.06017,0.93385,0.97147,0.98838,0.82203,1.4132,0.64598,1.9155,0.00119391,0.00119391,0.00119391
45,1036.78,1.51748,0.90786,2.05358,0.97614,0.95699,0.98871,0.81838,1.48131,0.66205,1.94587,0.0011829,0.0011829,0.0011829
46,1056.82,1.48773,0.87803,2.03796,0.98134,0.95784,0.98889,0.82287,1.42872,0.62624,1.91641,0.0011719,0.0011719,0.0011719
47,1076.81,1.5527,0.91622,2.09355,0.98036,0.9347,0.98784,0.82692,1.42511,0.63428,1.93415,0.0011609,0.0011609,0.0011609
48,1096.99,1.48982,0.87536,2.05978,0.95685,0.98058,0.99161,0.82159,1.46699,0.61891,1.91013,0.0011499,0.0011499,0.0011499
49,1117.24,1.50843,0.88503,2.06249,0.96119,0.94626,0.98625,0.81667,1.45231,0.63314,1.94815,0.00113889,0.00113889,0.00113889
50,1137.99,1.46516,0.85828,2.04569,0.96364,0.96883,0.98767,0.83405,1.40791,0.62575,1.93175,0.00112789,0.00112789,0.00112789
51,1158.69,1.45734,0.85617,2.01103,0.95229,0.96935,0.98891,0.81312,1.48693,0.60921,1.9653,0.00111689,0.00111689,0.00111689
52,1179.22,1.43625,0.81938,2.01057,0.98745,0.93511,0.99114,0.83005,1.41323,0.61443,1.88453,0.00110589,0.00110589,0.00110589
53,1199.55,1.43259,0.84775,2.02307,0.95993,0.9347,0.98124,0.82593,1.39101,0.65716,1.88288,0.00109489,0.00109489,0.00109489
54,1219.89,1.45007,0.85069,2.00874,0.96705,0.98058,0.99173,0.83038,1.39987,0.61022,1.90082,0.00108388,0.00108388,0.00108388
55,1240.44,1.43734,0.849,2.03106,0.98497,0.91262,0.9866,0.83037,1.36896,0.61374,1.89174,0.00107288,0.00107288,0.00107288
56,1261.03,1.46356,0.8543,2.03274,0.93786,0.95036,0.98607,0.80872,1.53736,0.66907,1.99885,0.00106188,0.00106188,0.00106188
57,1281.19,1.51352,0.80567,2.05246,0.94668,0.98544,0.98972,0.83837,1.37514,0.58233,1.87745,0.00105088,0.00105088,0.00105088
58,1301.72,1.43905,0.80969,2.01462,0.95878,0.96868,0.99084,0.85007,1.29888,0.56315,1.86535,0.00103987,0.00103987,0.00103987
59,1322.18,1.39594,0.79922,1.99473,0.93918,0.97948,0.99007,0.83349,1.39244,0.5808,1.91501,0.00102887,0.00102887,0.00102887
60,1342.56,1.37759,0.83274,1.99557,0.91805,0.96117,0.98393,0.83887,1.35634,0.65678,1.8759,0.00101787,0.00101787,0.00101787
61,1363.03,1.35369,0.82023,1.97901,0.93971,0.96514,0.98367,0.83135,1.31915,0.62414,1.8652,0.00100687,0.00100687,0.00100687
62,1383.53,1.3435,0.7746,1.95563,0.96608,0.96051,0.9861,0.8158,1.43723,0.61856,1.94437,0.000995866,0.000995866,0.000995866
63,1403.96,1.38222,0.77308,1.95996,0.96553,0.95295,0.98452,0.83675,1.36262,0.65071,1.89633,0.000984864,0.000984864,0.000984864
64,1425.28,1.39396,0.80688,2.00229,0.99083,0.92499,0.98846,0.83703,1.35452,0.59733,1.90529,0.000973861,0.000973861,0.000973861
65,1445.62,1.33751,0.76307,1.96516,0.97708,0.96513,0.9906,0.83113,1.36002,0.5663,1.90805,0.000962859,0.000962859,0.000962859
